Date,Close,Dividends
2004-10-28,108.65534210205078,0.375
2005-02-03,122.50845336914062,0.4375
2005-07-06,124.0997543334961,0.625
2005-08-18,123.50328826904295,0.375
2005-10-18,135.75119018554688,0.375
2006-01-18,152.85943603515625,0.375
2006-06-16,159.49874877929688,0.5625
2006-07-28,176.04844665527344,0.375
2006-10-23,205.3690185546875,0.75
2007-01-22,250.3164825439453,0.75
2007-06-15,226.47427368164065,1.0
2007-07-27,221.02769470214844,0.75
2007-10-22,206.0481109619141,0.75
2008-01-23,168.23519897460938,0.75
2008-06-18,174.7693328857422,1.25
2008-07-31,162.32310485839844,0.75
2008-10-29,105.92827606201172,0.75
2009-01-28,99.99695587158205,0.75
2009-06-16,154.36212158203125,1.25
2009-07-27,191.3076934814453,1.0
2009-10-28,256.8519897460937,1.0
2010-01-27,297.7746887207031,1.0
2010-06-15,310.88922119140625,5.0
2010-07-29,345.7458190917969,1.0
2010-11-01,429.2962341308594,1.0
2011-01-27,489.6199340820313,1.0
2011-06-08,485.5660400390625,4.0
2011-07-28,465.472412109375,1.5
2011-10-25,454.0003356933594,1.5
2012-01-25,454.9854431152344,1.5
2012-06-07,517.2168579101562,4.0
2012-07-23,507.6398315429688,1.5
2012-10-31,551.2301635742188,1.5
2013-01-23,550.9974365234375,1.5
2013-06-06,623.2103271484375,6.5
2013-07-29,755.6149291992188,2.0
2013-10-25,879.9127197265625,2.0
2014-01-27,950.4771728515624,2.0
2014-06-06,897.0409545898438,10.0
2014-07-28,1131.783203125,20.0
2014-10-29,1097.60888671875,2.5
2015-01-27,1098.0498046875,2.5
2015-06-05,1140.94677734375,12.0
2015-07-20,1144.86376953125,2.75
2015-10-21,1127.9571533203125,5.5
2015-10-23,1133.6090087890625,2.75
2016-01-21,1009.7554931640624,2.75
2016-06-06,1182.2371826171875,13.5
2016-07-25,1161.0045166015625,3.25
2016-10-24,1104.4117431640625,3.25
2017-01-23,1052.359619140625,3.25
2017-06-13,1130.9471435546875,13.75
2017-07-24,1170.7503662109375,3.5
2017-10-25,1187.4830322265625,3.5
2018-01-22,1449.0587158203125,3.5
2018-05-31,1632.57421875,14.5
2018-07-17,1881.189208984375,4.0
2018-10-23,1735.914306640625,4.0
2019-01-17,1787.427001953125,4.0
2019-06-04,2076.603515625,18.0
2019-07-16,2007.9437255859373,5.0
2019-10-17,1974.9921875,40.0
2020-01-23,2135.421630859375,5.0
2020-03-19,1606.53076171875,12.0
2020-06-03,2014.76806640625,6.0
2020-07-16,2205.41162109375,5.0
2020-10-14,2784.536376953125,12.0
2021-01-14,3227.832275390625,6.0
2021-05-25,3107.218994140625,15.0
2021-07-15,3202.949951171875,7.0
