Year,Month,Month_Name,avg_close,max_close,min_close,avg_volume
2002,8,August,29.25,32.75,26.38,2234061.87
2002,9,September,30.06,33.09,27.57,617788.95
2002,10,October,27.9,29.31,26.66,223522.78
2002,11,November,29.07,31.97,27.23,341949.71
2002,12,December,38.61,44.7,35.24,2283886.91
2003,1,January,40.9,45.42,35.0,2307175.3
2003,2,February,35.61,38.8,33.45,659548.0
2003,3,March,31.55,35.34,28.54,316365.71
2003,4,April,28.54,28.54,28.54,0.0
2004,5,May,67.89,86.17,55.42,34102.67
2004,6,June,63.03,69.61,57.61,121292.36
2004,7,July,69.07,75.15,62.78,74801.82
2004,8,August,79.92,91.84,72.54,5378848.0
2004,9,September,94.06,97.78,91.08,11713409.09
2004,10,October,103.56,108.66,97.38,11460135.6
2004,11,November,112.19,118.79,108.07,5641180.36
2004,12,December,116.89,124.45,111.9,6166419.13
2005,1,January,120.27,126.11,113.75,8968269.47
2005,2,February,126.35,131.72,121.98,5121198.4
2005,3,March,132.19,137.23,126.84,4519973.09
2005,4,April,119.78,135.58,104.17,9491689.2
2005,5,May,111.05,124.67,103.59,6494510.55
2005,6,June,121.1,126.9,118.3,5785735.64
2005,7,July,127.39,240.96,114.9,5469148.95
2005,8,August,123.22,132.07,117.45,5338112.73
2005,9,September,135.04,139.36,130.86,5447128.76
2005,10,October,134.88,140.82,128.33,6605686.8
2005,11,November,141.18,145.8,134.62,4755924.21
2005,12,December,155.91,163.41,144.27,4267547.27
2006,1,January,157.17,164.22,151.56,3669802.8
2006,2,February,156.34,160.53,152.76,3443770.53
2006,3,March,172.63,185.76,161.0,4285914.91
2006,4,April,182.56,189.97,168.08,7119947.76
2006,5,May,182.69,192.89,168.05,3655509.45
2006,6,June,157.49,169.32,140.03,5167943.64
2006,7,July,173.19,179.82,165.34,5666397.52
2006,8,August,182.96,189.25,176.72,2457039.09
2006,9,September,191.64,199.67,180.79,2788268.76
2006,10,October,201.5,214.21,187.23,4426209.89
2006,11,November,210.83,227.94,201.43,3347936.0
2006,12,December,222.77,232.35,213.05,2825575.4
2007,1,January,245.18,252.19,234.9,4413987.6
2007,2,February,244.39,249.62,227.44,3970957.89
2007,3,March,235.42,248.33,220.22,4416433.52
2007,4,April,234.09,243.99,226.64,5502477.4
2007,5,May,236.65,245.89,230.29,4302593.9
2007,6,June,224.68,232.76,214.49,3058489.52
2007,7,July,220.95,227.73,212.56,4276868.55
2007,8,August,206.41,220.95,193.21,3661276.91
2007,9,September,198.49,206.65,191.25,4044401.8
2007,10,October,206.15,215.76,199.52,6929436.18
2007,11,November,189.05,196.65,181.61,3376532.95
2007,12,December,202.12,213.51,193.16,3467060.42
2008,1,January,179.21,202.7,153.82,3587661.22
2008,2,February,172.68,188.24,164.62,3147560.76
2008,3,March,161.07,169.47,150.44,3142280.89
2008,4,April,174.87,193.11,160.59,5860181.8
2008,5,May,185.13,200.49,174.62,6442847.6
2008,6,June,175.09,189.83,163.81,5458904.57
2008,7,July,159.19,170.08,141.25,5286864.87
2008,8,August,161.55,167.54,154.26,3093654.2
2008,9,September,149.68,168.37,120.71,5117609.71
2008,10,October,107.37,130.78,88.36,8994726.95
2008,11,November,101.35,109.57,92.65,7115063.58
2008,12,December,98.9,110.5,91.99,6381757.71
2009,1,January,99.65,105.57,95.22,7107618.11
2009,2,February,97.45,103.38,92.4,4452758.11
2009,3,March,99.2,113.28,87.93,6057074.8
2009,4,April,114.71,122.89,106.99,7225601.56
2009,5,May,128.1,146.58,121.24,10766609.4
2009,6,June,148.58,157.63,136.91,6587981.73
2009,7,July,174.61,212.34,151.01,8028116.35
2009,8,August,208.78,218.47,198.38,6714121.71
2009,9,September,226.9,247.35,209.87,6083700.0
2009,10,October,243.69,256.85,223.75,5747736.0
2009,11,November,264.85,280.81,242.15,3879429.6
2009,12,December,282.16,293.29,273.41,3471850.0
2010,1,January,301.78,320.52,279.61,5877373.47
2010,2,February,299.81,306.97,289.84,2856990.0
2010,3,March,320.42,336.79,305.51,3563740.95
2010,4,April,317.94,329.18,304.36,4668803.3
2010,5,May,298.73,308.57,280.25,3037443.43
2010,6,June,308.2,319.65,293.67,2470353.45
2010,7,July,325.99,346.74,297.05,3586825.45
2010,8,August,350.23,357.89,338.44,2506416.18
2010,9,September,365.67,388.03,340.58,3375937.52
2010,10,October,402.14,433.99,382.72,3542965.9
2010,11,November,429.14,445.15,409.47,2594503.7
2010,12,December,456.27,476.9,437.12,2577488.27
2011,1,January,474.5,494.01,447.68,3585473.3
2011,2,February,458.03,483.21,444.8,3574823.3
2011,3,March,453.56,483.29,434.49,3258913.64
2011,4,April,486.28,506.13,467.25,4140571.22
2011,5,May,466.76,479.66,453.84,1919513.0
2011,6,June,473.04,489.53,439.49,2836771.0
2011,7,July,473.36,491.53,461.38,3132315.43
2011,8,August,414.0,467.82,378.32,4328983.14
2011,9,September,422.27,437.41,406.19,3987050.86
2011,10,October,442.2,467.41,425.91,4492122.78
2011,11,November,454.88,467.37,438.98,2455501.4
2011,12,December,482.14,491.09,468.34,2548681.62
2012,1,January,464.67,494.89,444.45,3973777.33
2012,2,February,505.19,526.26,467.71,2842269.9
2012,3,March,487.74,505.37,464.93,2967218.48
2012,4,April,473.99,516.56,441.0,4079950.21
2012,5,May,511.31,530.19,497.54,3237365.73
2012,6,June,518.12,532.75,502.74,1910327.9
2012,7,July,513.12,526.18,494.57,2906234.73
2012,8,August,537.79,571.56,511.99,1686514.38
2012,9,September,561.51,592.7,531.6,3180349.68
2012,10,October,544.94,552.96,536.44,1844564.3
2012,11,November,546.57,559.19,528.96,1456034.74
2012,12,December,525.24,551.77,505.14,2572286.4
2013,1,January,552.14,570.71,527.3,3165563.04
2013,2,February,600.43,637.11,566.18,2663976.5
2013,3,March,653.29,667.73,630.75,2812561.68
2013,4,April,618.9,658.26,575.1,3362919.2
2013,5,May,620.58,635.9,595.75,2368507.18
2013,6,June,617.51,646.22,589.97,2880132.4
2013,7,July,697.7,771.03,631.28,2486472.0
2013,8,August,779.82,863.49,729.54,3041768.7
2013,9,September,836.72,878.73,808.0,3074296.5
2013,10,October,885.1,940.87,827.75,2948549.14
2013,11,November,868.28,902.98,844.53,1913533.26
2013,12,December,878.03,924.3,845.61,1936834.1
2014,1,January,959.87,1008.0,916.32,2875537.65
2014,2,February,924.65,970.15,892.48,2403704.74
2014,3,March,918.32,959.98,869.39,3205143.2
2014,4,April,932.5,960.35,906.38,2642691.37
2014,5,May,917.84,944.72,868.24,2966088.48
2014,6,June,958.17,1043.87,890.65,2251368.38
2014,7,July,1064.68,1134.3,1012.19,1712789.0
2014,8,August,1089.26,1114.58,1063.22,1968351.37
2014,9,September,1151.4,1209.87,1108.99,1771469.73
2014,10,October,1135.02,1213.21,1059.22,2895701.22
2014,11,November,1141.74,1164.03,1125.46,1806441.89
2014,12,December,1105.39,1179.47,1033.05,2026314.18
2015,1,January,1099.49,1129.76,1058.91,2581213.62
2015,2,February,1134.09,1187.01,1071.32,2653386.63
2015,3,March,1145.76,1218.28,1102.9,2261866.95
2015,4,April,1112.69,1169.36,1065.14,3043314.53
2015,5,May,1117.95,1148.89,1080.93,2440529.5
2015,6,June,1134.81,1151.98,1109.48,1983702.82
2015,7,July,1126.4,1166.39,1095.99,2063369.3
2015,8,August,1159.03,1216.66,1113.68,2501136.1
2015,9,September,1135.49,1156.6,1121.63,2215531.9
2015,10,October,1140.1,1203.68,1095.41,2987730.7
2015,11,November,1082.73,1136.42,1048.0,1809648.44
2015,12,December,1070.25,1100.34,1036.5,1869563.0
2016,1,January,1040.2,1079.66,1009.76,2368732.1
2016,2,February,1028.72,1084.75,974.95,1639247.14
2016,3,March,1072.39,1128.8,1019.68,2149883.7
2016,4,April,1111.02,1135.61,1082.56,2733159.67
2016,5,May,1132.77,1180.8,1105.24,1529987.55
2016,6,June,1169.06,1207.19,1115.01,1993206.0
2016,7,July,1133.66,1188.39,1098.11,2612681.4
2016,8,August,1189.95,1242.44,1134.51,2092808.18
2016,9,September,1091.93,1140.97,1053.55,2592137.1
2016,10,October,1086.22,1104.41,1056.63,2305598.11
2016,11,November,1009.39,1069.06,955.86,2591334.29
2016,12,December,1028.58,1076.14,980.15,1893692.27
2017,1,January,1053.01,1082.48,1017.28,2842860.67
2017,2,February,1080.19,1141.55,989.04,3541276.0
2017,3,March,1132.8,1171.34,1100.42,2154024.55
2017,4,April,1071.87,1108.18,1037.05,2414466.89
2017,5,May,1115.54,1197.39,1044.69,2342946.36
2017,6,June,1130.96,1229.97,1076.37,2437700.76
2017,7,July,1127.33,1189.63,1075.77,2181327.43
2017,8,August,1154.93,1169.87,1142.39,1553286.29
2017,9,September,1148.14,1168.07,1126.92,1599064.0
2017,10,October,1174.17,1217.22,1123.98,1781660.0
2017,11,November,1246.79,1279.82,1207.41,1801281.82
2017,12,December,1213.96,1253.03,1180.85,2015036.0
2018,1,January,1337.91,1487.4,1220.56,2640493.91
2018,2,February,1399.28,1466.38,1353.92,2435453.47
2018,3,March,1357.96,1444.15,1309.84,7648731.37
2018,4,April,1476.93,1645.67,1352.92,5538202.48
2018,5,May,1625.87,1675.64,1590.67,2969887.95
2018,6,June,1684.01,1742.24,1614.34,3536071.33
2018,7,July,1827.15,1884.48,1736.0,3944647.36
2018,8,August,1891.35,1956.59,1830.69,2012491.24
2018,9,September,1975.47,2065.63,1920.46,2480009.56
2018,10,October,1853.67,2119.28,1693.97,3240976.81
2018,11,November,1792.19,1867.97,1706.11,2636409.3
2018,12,December,1848.24,1898.95,1778.8,2467143.95
2019,1,January,1794.94,1900.47,1707.29,3038922.87
2019,2,February,1898.62,1965.39,1797.33,3155963.21
2019,3,March,1891.13,1924.86,1856.87,2807056.0
2019,4,April,1990.39,2132.83,1900.85,3531033.63
2019,5,May,2001.08,2090.41,1932.46,2749106.64
2019,6,June,2131.43,2166.83,2060.43,2435807.95
2019,7,July,2043.23,2142.24,1969.76,2627896.39
2019,8,August,2115.7,2170.31,2062.29,2222480.45
2019,9,September,2031.97,2146.76,1921.94,2986978.95
2019,10,October,2001.16,2207.12,1894.34,3844631.53
2019,11,November,2072.48,2141.18,1990.26,2987738.75
2019,12,December,2070.24,2170.21,1957.39,4125434.19
2020,1,January,2130.03,2193.11,2026.36,2755257.26
2020,2,February,2090.73,2159.59,1949.46,2490821.79
2020,3,March,1799.19,2071.19,1606.53,5506519.71
2020,4,April,1759.82,1977.74,1624.06,4939969.78
2020,5,May,1910.12,1983.53,1857.18,3439243.74
2020,6,June,2025.56,2086.35,1985.18,3363278.82
2020,7,July,2185.73,2279.43,2059.96,4625201.43
2020,8,August,2230.01,2277.8,2209.16,3121940.1
2020,9,September,2369.47,2489.83,2216.86,5291173.68
2020,10,October,2686.15,2792.85,2490.32,6124633.05
2020,11,November,2650.57,2702.28,2581.36,3412477.05
2020,12,December,2794.95,2904.36,2685.28,2856006.73
2021,1,January,3149.48,3285.52,2902.13,4234269.7
2021,2,February,3084.03,3191.49,2873.94,3273242.15
2021,3,March,3048.47,3155.49,2903.63,3420922.71
2021,4,April,3155.89,3298.88,3014.3,3227818.84
2021,5,May,3084.59,3173.08,3015.64,2176946.2
2021,6,June,3251.25,3373.44,3122.64,2049056.32
2021,7,July,3222.62,3334.22,3167.45,2111899.52
2021,8,August,3482.06,3786.45,3219.4,2698954.62
2021,9,September,3834.02,3954.55,3714.95,2331127.05
