Year,Quarter,avg_close,max_close,min_close,avg_volume
2002,3,29.72,33.09,26.38,1291236.0
2002,4,31.84,44.7,26.66,947992.12
2003,1,36.18,45.42,28.54,1139057.38
2003,2,28.54,28.54,28.54,0.0
2004,2,65.22,86.17,55.42,82057.0
2004,3,81.02,97.78,62.78,5722352.97
2004,4,111.2,124.45,97.38,7617481.85
2005,1,126.56,137.23,113.75,6102631.08
2005,2,117.23,135.58,103.59,7187487.5
2005,3,128.46,240.96,114.9,5416879.88
2005,4,144.43,163.41,128.33,5186267.8
2006,1,162.49,185.76,151.56,3821603.67
2006,2,173.57,192.89,140.03,5166476.72
2006,3,182.61,199.67,165.34,3618794.56
2006,4,211.84,232.35,187.23,3512526.03
2007,1,241.51,252.19,220.22,4274550.93
2007,2,231.77,245.89,214.49,4268262.9
2007,3,208.93,227.73,191.25,3992613.06
2007,4,199.13,215.76,181.61,4664982.84
2008,1,171.73,202.7,150.44,3309290.97
2008,2,178.31,200.49,160.59,5913075.15
2008,3,156.81,170.08,120.71,4545949.69
2008,4,102.42,130.78,88.36,7459371.73
2009,1,98.78,113.28,87.93,5875666.28
2009,2,131.59,157.63,106.99,8172143.57
2009,3,202.16,247.35,151.01,6989331.75
2009,4,262.24,293.29,223.75,4430230.57
2010,1,307.78,336.79,279.61,4081211.29
2010,2,308.13,329.18,280.25,3357304.03
2010,3,347.02,388.03,297.05,3153015.45
2010,4,429.62,476.9,382.72,2904715.87
2011,1,461.76,494.01,434.49,3466161.81
2011,2,474.65,506.13,439.49,2889815.0
2011,3,436.55,491.53,378.32,3816116.48
2011,4,460.71,491.09,425.91,3110009.36
2012,1,485.55,526.26,444.45,3267843.71
2012,2,502.18,532.75,441.0,3046096.55
2012,3,536.31,592.7,494.57,2577106.61
2012,4,538.79,559.19,505.14,1966130.07
2013,1,598.71,667.73,527.3,2895583.1
2013,2,619.05,658.26,575.1,2854325.65
2013,3,767.9,878.73,631.28,2849367.62
2013,4,877.42,940.87,827.75,2277871.8
2014,1,935.68,1008.0,869.39,2837268.06
2014,2,936.29,1043.87,868.24,2619307.05
2014,3,1102.37,1209.87,1012.19,1810355.05
2014,4,1125.87,1213.21,1033.05,2227887.72
2015,1,1126.2,1218.28,1058.91,2493754.72
2015,2,1122.4,1169.36,1065.14,2463525.05
2015,3,1139.95,1216.66,1095.99,2254562.34
2015,4,1097.28,1203.68,1036.5,2224311.2
2016,1,1046.8,1128.8,974.95,2045844.36
2016,2,1139.33,1207.19,1082.56,2043663.42
2016,3,1140.17,1242.44,1053.55,2421583.06
2016,4,1038.98,1104.41,955.86,2255410.1
2017,1,1089.65,1171.34,989.04,2812465.45
2017,2,1107.96,1229.97,1037.05,2396671.15
2017,3,1143.46,1189.63,1075.77,1777892.57
2017,4,1212.77,1279.82,1123.98,1863905.16
2018,1,1363.69,1487.4,1220.56,4161506.3
2018,2,1596.08,1742.24,1352.92,3998395.08
2018,3,1893.02,2065.63,1736.0,2847290.66
2018,4,1831.73,2119.28,1693.97,2789042.26
2019,1,1856.63,1965.39,1707.29,3006425.58
2019,2,2038.97,2166.83,1900.85,2897505.6
2019,3,2063.16,2170.31,1921.94,2607158.48
2019,4,2049.11,2207.12,1894.34,3657281.53
2020,1,2007.9,2193.11,1606.53,3592594.37
2020,2,1907.31,2086.35,1624.06,3868766.46
2020,3,2261.07,2489.83,2059.96,4368881.76
2020,4,2713.85,2904.36,2490.32,4133653.32
2021,1,3093.25,3285.52,2873.94,3639174.0
2021,2,3166.91,3373.44,3014.3,2458142.97
2021,3,3512.9,3954.55,3167.45,2380660.4
