Year,Month,Month_Name,avg_close,month_high,month_low
2002,8,August,29.25,32.75,26.38
2002,9,September,30.06,33.09,27.57
2002,10,October,27.9,29.31,26.66
2002,11,November,29.07,31.97,27.23
2002,12,December,38.61,44.7,35.24
2003,1,January,40.9,45.42,35.0
2003,2,February,35.61,38.8,33.45
2003,3,March,31.55,35.34,28.54
2003,4,April,28.54,28.54,28.54
2004,5,May,67.89,86.17,55.42
2004,6,June,63.03,69.61,57.61
2004,7,July,69.07,75.15,62.78
2004,8,August,79.92,91.84,72.54
2004,9,September,94.06,97.78,91.08
2004,10,October,103.56,108.66,97.38
2004,11,November,112.19,118.79,108.07
2004,12,December,116.89,124.45,111.9
2005,1,January,120.27,126.11,113.75
2005,2,February,126.35,131.72,121.98
2005,3,March,132.19,137.23,126.84
2005,4,April,119.78,135.58,104.17
2005,5,May,111.05,124.67,103.59
2005,6,June,121.1,126.9,118.3
2005,7,July,127.39,240.96,114.9
2005,8,August,123.22,132.07,117.45
2005,9,September,135.04,139.36,130.86
2005,10,October,134.88,140.82,128.33
2005,11,November,141.18,145.8,134.62
2005,12,December,155.91,163.41,144.27
2006,1,January,157.17,164.22,151.56
2006,2,February,156.34,160.53,152.76
2006,3,March,172.63,185.76,161.0
2006,4,April,182.56,189.97,168.08
2006,5,May,182.69,192.89,168.05
2006,6,June,157.49,169.32,140.03
2006,7,July,173.19,179.82,165.34
2006,8,August,182.96,189.25,176.72
2006,9,September,191.64,199.67,180.79
2006,10,October,201.5,214.21,187.23
2006,11,November,210.83,227.94,201.43
2006,12,December,222.77,232.35,213.05
2007,1,January,245.18,252.19,234.9
2007,2,February,244.39,249.62,227.44
2007,3,March,235.42,248.33,220.22
2007,4,April,234.09,243.99,226.64
2007,5,May,236.65,245.89,230.29
2007,6,June,224.68,232.76,214.49
2007,7,July,220.95,227.73,212.56
2007,8,August,206.41,220.95,193.21
2007,9,September,198.49,206.65,191.25
2007,10,October,206.15,215.76,199.52
2007,11,November,189.05,196.65,181.61
2007,12,December,202.12,213.51,193.16
2008,1,January,179.21,202.7,153.82
2008,2,February,172.68,188.24,164.62
2008,3,March,161.07,169.47,150.44
2008,4,April,174.87,193.11,160.59
2008,5,May,185.13,200.49,174.62
2008,6,June,175.09,189.83,163.81
2008,7,July,159.19,170.08,141.25
2008,8,August,161.55,167.54,154.26
2008,9,September,149.68,168.37,120.71
2008,10,October,107.37,130.78,88.36
2008,11,November,101.35,109.57,92.65
2008,12,December,98.9,110.5,91.99
2009,1,January,99.65,105.57,95.22
2009,2,February,97.45,103.38,92.4
2009,3,March,99.2,113.28,87.93
2009,4,April,114.71,122.89,106.99
2009,5,May,128.1,146.58,121.24
2009,6,June,148.58,157.63,136.91
2009,7,July,174.61,212.34,151.01
2009,8,August,208.78,218.47,198.38
2009,9,September,226.9,247.35,209.87
2009,10,October,243.69,256.85,223.75
2009,11,November,264.85,280.81,242.15
2009,12,December,282.16,293.29,273.41
2010,1,January,301.78,320.52,279.61
2010,2,February,299.81,306.97,289.84
2010,3,March,320.42,336.79,305.51
2010,4,April,317.94,329.18,304.36
2010,5,May,298.73,308.57,280.25
2010,6,June,308.2,319.65,293.67
2010,7,July,325.99,346.74,297.05
2010,8,August,350.23,357.89,338.44
2010,9,September,365.67,388.03,340.58
2010,10,October,402.14,433.99,382.72
2010,11,November,429.14,445.15,409.47
2010,12,December,456.27,476.9,437.12
2011,1,January,474.5,494.01,447.68
2011,2,February,458.03,483.21,444.8
2011,3,March,453.56,483.29,434.49
2011,4,April,486.28,506.13,467.25
2011,5,May,466.76,479.66,453.84
2011,6,June,473.04,489.53,439.49
2011,7,July,473.36,491.53,461.38
2011,8,August,414.0,467.82,378.32
2011,9,September,422.27,437.41,406.19
2011,10,October,442.2,467.41,425.91
2011,11,November,454.88,467.37,438.98
2011,12,December,482.14,491.09,468.34
2012,1,January,464.67,494.89,444.45
2012,2,February,505.19,526.26,467.71
2012,3,March,487.74,505.37,464.93
2012,4,April,473.99,516.56,441.0
2012,5,May,511.31,530.19,497.54
2012,6,June,518.12,532.75,502.74
2012,7,July,513.12,526.18,494.57
2012,8,August,537.79,571.56,511.99
2012,9,September,561.51,592.7,531.6
2012,10,October,544.94,552.96,536.44
2012,11,November,546.57,559.19,528.96
2012,12,December,525.24,551.77,505.14
2013,1,January,552.14,570.71,527.3
2013,2,February,600.43,637.11,566.18
2013,3,March,653.29,667.73,630.75
2013,4,April,618.9,658.26,575.1
2013,5,May,620.58,635.9,595.75
2013,6,June,617.51,646.22,589.97
2013,7,July,697.7,771.03,631.28
2013,8,August,779.82,863.49,729.54
2013,9,September,836.72,878.73,808.0
2013,10,October,885.1,940.87,827.75
2013,11,November,868.28,902.98,844.53
2013,12,December,878.03,924.3,845.61
2014,1,January,959.87,1008.0,916.32
2014,2,February,924.65,970.15,892.48
2014,3,March,918.32,959.98,869.39
2014,4,April,932.5,960.35,906.38
2014,5,May,917.84,944.72,868.24
2014,6,June,958.17,1043.87,890.65
2014,7,July,1064.68,1134.3,1012.19
2014,8,August,1089.26,1114.58,1063.22
2014,9,September,1151.4,1209.87,1108.99
2014,10,October,1135.02,1213.21,1059.22
2014,11,November,1141.74,1164.03,1125.46
2014,12,December,1105.39,1179.47,1033.05
2015,1,January,1099.49,1129.76,1058.91
2015,2,February,1134.09,1187.01,1071.32
2015,3,March,1145.76,1218.28,1102.9
2015,4,April,1112.69,1169.36,1065.14
2015,5,May,1117.95,1148.89,1080.93
2015,6,June,1134.81,1151.98,1109.48
2015,7,July,1126.4,1166.39,1095.99
2015,8,August,1159.03,1216.66,1113.68
2015,9,September,1135.49,1156.6,1121.63
2015,10,October,1140.1,1203.68,1095.41
2015,11,November,1082.73,1136.42,1048.0
2015,12,December,1070.25,1100.34,1036.5
2016,1,January,1040.2,1079.66,1009.76
2016,2,February,1028.72,1084.75,974.95
2016,3,March,1072.39,1128.8,1019.68
2016,4,April,1111.02,1135.61,1082.56
2016,5,May,1132.77,1180.8,1105.24
2016,6,June,1169.06,1207.19,1115.01
2016,7,July,1133.66,1188.39,1098.11
2016,8,August,1189.95,1242.44,1134.51
2016,9,September,1091.93,1140.97,1053.55
2016,10,October,1086.22,1104.41,1056.63
2016,11,November,1009.39,1069.06,955.86
2016,12,December,1028.58,1076.14,980.15
2017,1,January,1053.01,1082.48,1017.28
2017,2,February,1080.19,1141.55,989.04
2017,3,March,1132.8,1171.34,1100.42
2017,4,April,1071.87,1108.18,1037.05
2017,5,May,1115.54,1197.39,1044.69
2017,6,June,1130.96,1229.97,1076.37
2017,7,July,1127.33,1189.63,1075.77
2017,8,August,1154.93,1169.87,1142.39
2017,9,September,1148.14,1168.07,1126.92
2017,10,October,1174.17,1217.22,1123.98
2017,11,November,1246.79,1279.82,1207.41
2017,12,December,1213.96,1253.03,1180.85
2018,1,January,1337.91,1487.4,1220.56
2018,2,February,1399.28,1466.38,1353.92
2018,3,March,1357.96,1444.15,1309.84
2018,4,April,1476.93,1645.67,1352.92
2018,5,May,1625.87,1675.64,1590.67
2018,6,June,1684.01,1742.24,1614.34
2018,7,July,1827.15,1884.48,1736.0
2018,8,August,1891.35,1956.59,1830.69
2018,9,September,1975.47,2065.63,1920.46
2018,10,October,1853.67,2119.28,1693.97
2018,11,November,1792.19,1867.97,1706.11
2018,12,December,1848.24,1898.95,1778.8
2019,1,January,1794.94,1900.47,1707.29
2019,2,February,1898.62,1965.39,1797.33
2019,3,March,1891.13,1924.86,1856.87
2019,4,April,1990.39,2132.83,1900.85
2019,5,May,2001.08,2090.41,1932.46
2019,6,June,2131.43,2166.83,2060.43
2019,7,July,2043.23,2142.24,1969.76
2019,8,August,2115.7,2170.31,2062.29
2019,9,September,2031.97,2146.76,1921.94
2019,10,October,2001.16,2207.12,1894.34
2019,11,November,2072.48,2141.18,1990.26
2019,12,December,2070.24,2170.21,1957.39
2020,1,January,2130.03,2193.11,2026.36
2020,2,February,2090.73,2159.59,1949.46
2020,3,March,1799.19,2071.19,1606.53
2020,4,April,1759.82,1977.74,1624.06
2020,5,May,1910.12,1983.53,1857.18
2020,6,June,2025.56,2086.35,1985.18
2020,7,July,2185.73,2279.43,2059.96
2020,8,August,2230.01,2277.8,2209.16
2020,9,September,2369.47,2489.83,2216.86
2020,10,October,2686.15,2792.85,2490.32
2020,11,November,2650.57,2702.28,2581.36
2020,12,December,2794.95,2904.36,2685.28
2021,1,January,3149.48,3285.52,2902.13
2021,2,February,3084.03,3191.49,2873.94
2021,3,March,3048.47,3155.49,2903.63
2021,4,April,3155.89,3298.88,3014.3
2021,5,May,3084.59,3173.08,3015.64
2021,6,June,3251.25,3373.44,3122.64
2021,7,July,3222.62,3334.22,3167.45
2021,8,August,3482.06,3786.45,3219.4
2021,9,September,3834.02,3954.55,3714.95
