Year,Quarter,avg_close,quarter_high,quarter_low
2002,3,29.72,33.09,26.38
2002,4,31.84,44.7,26.66
2003,1,36.18,45.42,28.54
2003,2,28.54,28.54,28.54
2004,2,65.22,86.17,55.42
2004,3,81.02,97.78,62.78
2004,4,111.2,124.45,97.38
2005,1,126.56,137.23,113.75
2005,2,117.23,135.58,103.59
2005,3,128.46,240.96,114.9
2005,4,144.43,163.41,128.33
2006,1,162.49,185.76,151.56
2006,2,173.57,192.89,140.03
2006,3,182.61,199.67,165.34
2006,4,211.84,232.35,187.23
2007,1,241.51,252.19,220.22
2007,2,231.77,245.89,214.49
2007,3,208.93,227.73,191.25
2007,4,199.13,215.76,181.61
2008,1,171.73,202.7,150.44
2008,2,178.31,200.49,160.59
2008,3,156.81,170.08,120.71
2008,4,102.42,130.78,88.36
2009,1,98.78,113.28,87.93
2009,2,131.59,157.63,106.99
2009,3,202.16,247.35,151.01
2009,4,262.24,293.29,223.75
2010,1,307.78,336.79,279.61
2010,2,308.13,329.18,280.25
2010,3,347.02,388.03,297.05
2010,4,429.62,476.9,382.72
2011,1,461.76,494.01,434.49
2011,2,474.65,506.13,439.49
2011,3,436.55,491.53,378.32
2011,4,460.71,491.09,425.91
2012,1,485.55,526.26,444.45
2012,2,502.18,532.75,441.0
2012,3,536.31,592.7,494.57
2012,4,538.79,559.19,505.14
2013,1,598.71,667.73,527.3
2013,2,619.05,658.26,575.1
2013,3,767.9,878.73,631.28
2013,4,877.42,940.87,827.75
2014,1,935.68,1008.0,869.39
2014,2,936.29,1043.87,868.24
2014,3,1102.37,1209.87,1012.19
2014,4,1125.87,1213.21,1033.05
2015,1,1126.2,1218.28,1058.91
2015,2,1122.4,1169.36,1065.14
2015,3,1139.95,1216.66,1095.99
2015,4,1097.28,1203.68,1036.5
2016,1,1046.8,1128.8,974.95
2016,2,1139.33,1207.19,1082.56
2016,3,1140.17,1242.44,1053.55
2016,4,1038.98,1104.41,955.86
2017,1,1089.65,1171.34,989.04
2017,2,1107.96,1229.97,1037.05
2017,3,1143.46,1189.63,1075.77
2017,4,1212.77,1279.82,1123.98
2018,1,1363.69,1487.4,1220.56
2018,2,1596.08,1742.24,1352.92
2018,3,1893.02,2065.63,1736.0
2018,4,1831.73,2119.28,1693.97
2019,1,1856.63,1965.39,1707.29
2019,2,2038.97,2166.83,1900.85
2019,3,2063.16,2170.31,1921.94
2019,4,2049.11,2207.12,1894.34
2020,1,2007.9,2193.11,1606.53
2020,2,1907.31,2086.35,1624.06
2020,3,2261.07,2489.83,2059.96
2020,4,2713.85,2904.36,2490.32
2021,1,3093.25,3285.52,2873.94
2021,2,3166.91,3373.44,3014.3
2021,3,3512.9,3954.55,3167.45
