Date,Open,High,Low,Close,Volume,MA7,MA30
2021-09-30,3805.0,3805.0,3765.0,3773.2,640479,3826.27,3780.8
2021-09-29,3759.8,3806.0,3722.15,3791.9,2489161,3839.09,3773.46
2021-09-28,3850.0,3850.0,3751.25,3779.15,2253075,3843.61,3762.83
2021-09-27,3900.0,3904.0,3802.9,3836.95,1673362,3850.56,3752.3
2021-09-24,3890.0,3944.4,3855.0,3871.3,2320754,3860.04,3736.13
2021-09-23,3870.0,3879.0,3835.0,3869.25,2003869,3871.94,3718.56
2021-09-22,3862.5,3896.85,3852.45,3862.15,1744067,3874.31,3700.71
2021-09-21,3858.0,3871.55,3821.65,3862.95,1568129,3871.91,3682.73
2021-09-20,3809.0,3871.0,3807.85,3823.5,2002008,3861.69,3664.29
2021-09-17,3920.0,3945.0,3805.0,3827.85,6477148,3854.64,3646.31
2021-09-16,3930.0,3981.75,3892.1,3903.3,2946666,3852.94,3627.84
2021-09-15,3882.1,3980.0,3866.0,3954.55,2461369,3845.61,3607.23
2021-09-14,3849.95,3896.5,3825.0,3885.9,1991188,3829.54,3582.73
2021-09-13,3767.0,3852.4,3767.0,3845.35,1691473,3822.51,3558.78
2021-09-09,3789.7,3808.7,3765.0,3791.4,1441148,3803.89,3537.13
2021-09-08,3810.0,3815.0,3756.0,3774.15,4147175,3803.18,3517.34
2021-09-07,3864.0,3869.95,3808.25,3815.9,1585039,3792.77,3497.63
2021-09-06,3849.7,3877.6,3814.0,3852.0,1723693,3779.09,3477.02
2021-09-03,3825.0,3856.9,3804.55,3842.05,1746812,3753.36,3455.72
2021-09-02,3734.0,3859.15,3722.0,3836.75,3403717,3727.21,3434.86
2021-09-01,3796.0,3816.7,3707.0,3714.95,2643336,3695.27,3413.83
2021-08-31,3709.4,3804.1,3703.45,3786.45,3207480,3684.19,3396.15
2021-08-30,3715.0,3740.35,3687.6,3701.3,2033114,3651.77,3376.43
2021-08-27,3666.0,3729.5,3651.1,3720.15,3944728,3631.66,3359.82
2021-08-26,3660.0,3687.6,3647.9,3671.85,1902533,3607.79,3342.73
2021-08-25,3610.0,3697.75,3607.05,3659.0,2123263,3579.38,3326.36
2021-08-24,3657.0,3667.35,3594.4,3613.2,2511141,3551.44,3310.59
2021-08-23,3580.0,3673.0,3561.9,3637.4,3744176,3514.09,3296.86
2021-08-20,3506.0,3575.0,3500.0,3559.5,2836148,3472.2,3283.99
2021-08-18,3573.85,3595.0,3536.6,3560.55,2631309,3439.97,3274.27
