Year,avg_close,yearly_high,yearly_low,avg_volume
2002,31.1,44.7,26.38,1069137.02
2003,36.06,45.42,28.54,1121533.42
2004,88.8,124.45,55.42,5123356.12
2005,129.02,240.96,103.59,5981209.38
2006,182.62,232.35,140.03,4024857.67
2007,220.07,252.19,181.61,4297828.74
2008,152.86,202.7,88.36,5272021.69
2009,173.31,293.29,87.93,6413980.68
2010,348.77,476.9,279.61,3360978.9
2011,458.3,506.13,378.32,3325107.53
2012,515.42,592.7,441.0,2723455.43
2013,715.33,940.87,527.3,2721591.46
2014,1024.08,1213.21,868.24,2372779.53
2015,1121.78,1218.28,1036.5,2358311.9
2016,1091.72,1242.44,955.86,2191958.55
2017,1138.61,1279.82,989.04,2210238.51
2018,1671.46,2119.28,1220.56,3452861.67
2019,2002.47,2207.12,1707.29,3038498.3
2020,2226.07,2904.36,1606.53,3996893.47
2021,3260.44,3954.55,2873.94,2821178.05
